Year1,Australia Score,World Average,Year2,Region,Score,Country Name,EGDP ,ESocialSupport,EHealthylifeexpectancy,EFreedomlifechoices,Total,Regions2,Happiness Scores,Regionsp,HappinessScore,GDP,SocialSupport,Intop20,Regions3,2016,2018,2020,2022,HappinessScore2,Freedom2,Year3,H,G,SS,LE,F,,,,
2015,7.28,5.38,2015,Central And Eastern Europe,5.274,Finland ,1.9,1.203,0.772,0.676,4.551,Australia and New Zealand,7.2,Western Europe,7.821,1.892,1.258,Yes,Central And Eastern Europe,6,6,5,7,7.821,736,2015,7.59,1.4,1.35,0.94,0.67,,,,
2016,7.31,5.38,2015,Eastern Asia,5.53,Australia,1.9,1.203,0.772,0.676,4.551,Australia and New Zealand,7.162,Western Europe,7.636,1.953,1.243,Yes,Eastern Asia,5,5,6,5,7.636,719,2016,7.31,1.44,1.1,0.85,0.57,,,,Source: https://www.kaggle.com/datasets/mathurinache/world-happiness-report
2017,7.28,5.35,2015,Latin American And the Carribean,5.68,China,1.508,0.958,0.705,0.656,3.827,Central And Eastern Europe,6.477,Western Europe,7.557,1.936,1.32,Yes,Latin American And the Carribean,4,4,4,4,7.557,718,2017,7.28,1.48,1.51,0.84,0.6,,,,
2018,7.27,5.38,2015,Middle East And North Africa,5.26,Pakistan,1.049,0.413,0.374,0.448,2.284,Central And Eastern Europe,6.455,Western Europe,7.512,2.026,1.226,No,Middle East And North Africa,7,7,8,8,7.512,677,2018,7.27,1.34,1.57,0.91,0.65,,,,
2019,7.23,5.41,2015,North America,7.273,Iraq,1.289,0.683,0.554,0.328,2.854,Central And Eastern Europe,6.446,Western Europe,7.415,1.945,1.206,No,North America,2,2,1,3,7.415,651,2019,7.23,1.37,1.55,1.04,0.56,,,,
2020,7.22,5.47,2015,South Eastern Asia,5.237,Canada,1.886,1.188,0.783,0.659,4.516,Central And Eastern Europe,6.391,Western Europe,7.404,2.209,1.155,No,South Eastern Asia,8,8,9,6,7.404,700,2020,7.22,1.31,1.48,1.02,0.62,,,,
2021,7.18,5.53,2015,Southern Asia,4.52,Burkina Faso,0.779,0.565,0.32,0.382,2.046,Central And Eastern Europe,6.341,Western Europe,7.384,1.92,1.204,No,Southern Asia,9,9,7,9,7.384,724,2021,7.18,1.45,1.08,0.8,0.65,,,,
2022,7.16,5.55,2015,Sub-Saharan Africa,4.523,Vietnam ,1.252,0.932,0.611,0.707,3.502,Central And Eastern Europe,6.234,Western Europe,7.365,1.997,1.239,No,Sub-Saharan Africa,10,10,10,10,7.365,728,2022,7.16,1.9,1.2,0.77,0.68,,,,
,,,2015,Western Europe,6.03,Bulgaria,1.625,1.163,0.64,0.563,3.991,Central And Eastern Europe,6.18,Middle East and North Africa,7.364,1.826,1.221,No,Western Europe,3,3,3,2,7.364,568,,,,,,,,,,
,,,2015,Australia And New Zealand,7.285,,,,,,,Central And Eastern Europe,6.178,Australia and New Zealand,7.2,1.852,1.235,No,Australia And New Zealand,1,1,2,1,7.2,680,,,,,,,,,,
,,,2021,Central And Eastern Europe,5.984,,,,,,,Central And Eastern Europe,6.125,Western Europe ,7.163,1.931,1.165,No,,,,,,7.163,623,,,,,,,,,,
,,,2021,Eastern Asia,5.81,,,,,,,Central And Eastern Europe,6.123,Australia and New Zealand,7.162,1.9,1.203,No,,,,,,7.162,676,,,,,,,,,,
,,,2021,Latin American And the Carribean,5.908,,,,,,,Central And Eastern Europe,6.086,Western Europe,7.041,2.129,1.166,No,,,,,,7.041,627,,,,,,,,,,
,,,2021,Middle East And North Africa,5.219,,,,,,,Central And Eastern Europe,6.063,Western Europe,7.034,1.924,1.088,No,,,,,,7.034,585,,,,,,,,,,
,,,2021,North America,7.128,,,,,,,Central And Eastern Europe,5.948,North America,7.025,1.886,1.188,No,,,,,,7.025,659,,,,,,,,,,
,,,2021,South Eastern Asia,5.407,,,,,,,Central And Eastern Europe,5.857,North America,6.977,1.982,1.182,No,,,,,,6.977,574,,,,,,,,,,
